antecedent;consequent;support;confidence
going never;take;0.004099331489797802;0.21085032704886497
take never;going;0.004099331489797802;0.24457006843201431
going experience;way;0.0034497719684521036;0.2231631583192193
going way;experience;0.0034497719684521036;0.22652476463364718
experience way;going;0.0034497719684521036;0.22545424916483336
going experience;never;0.004525721808992098;0.2927655456085168
going never;experience;0.004525721808992098;0.23278183916891113
experience never;going;0.004525721808992098;0.2278576360554893
going long;order;0.0025633289364429073;0.2456098435073468
order long;going;0.0025633289364429073;0.2018258564837538
going order;never;0.004222760266406677;0.27762295081967214
going never;order;0.004222760266406677;0.21719892266256255
going long;never;0.0030907064364990113;0.29614144068808984
long never;going;0.0030907064364990113;0.2504040404040404
hard water;going;0.00044633840430280197;0.21271538918597743
going way;never;0.004221513511087395;0.27720016373311507
going never;way;0.004221513511087395;0.21713479543414135
way never;going;0.004221513511087395;0.2478770131771596
going never;great;0.005516892287820946;0.2837629857637553
going go;went;0.00775980510720849;0.263795880308553
going went;go;0.00775980510720849;0.4018335593001485
go went;going;0.00775980510720849;0.2141849340995905
really hard;get;0.0049246835111622;0.45163503315801506
get hard;really;0.0049246835111622;0.3554395752722037
really water;get;0.0039023441493513133;0.467513069454817
get water;really;0.0039023441493513133;0.3308668076109937
really tour;us;0.0008116377128523019;0.37030716723549484
us tour;really;0.0008116377128523019;0.2869105332745703
really needed;us;0.0025708094683585966;0.2959667001578872
us needed;really;0.0025708094683585966;0.29058624577226605
really us;one;0.013713061756777986;0.4493239102904531
really one;us;0.013713061756777986;0.25242696165056344
us one;really;0.013713061756777986;0.3129338795948561
really us;great;0.012615917075810204;0.4133747293598595
us great;really;0.012615917075810204;0.294362345822667
really fun;well;0.0026730434045396856;0.25834437884082423
fun well;really;0.0026730434045396856;0.35870838213150413
fun maybe;really;0.000822858510725836;0.44534412955465585
really fun;one;0.003857460957857177;0.3728160019279432
fun one;really;0.003857460957857177;0.35628742514970063
really fun;good;0.00497954074521059;0.481262802747319
fun good;really;0.00497954074521059;0.3438064904880778
tour needed;really;0.00010597420213893343;0.3359683794466403
really tour;one;0.0008078974468944572;0.36860068259385664
tour one;really;0.0008078974468944572;0.30237984134391044
really tour;great;0.0009512743086118377;0.4340159271899886
tour great;really;0.0009512743086118377;0.24764686790003246
really experience;one;0.010588692926658372;0.41384855277263427
experience one;really;0.010588692926658372;0.3112357080035181
really maybe;well;0.003643019042940747;0.2995079950799508
well maybe;really;0.003643019042940747;0.4132371658888418
really well;one;0.01509820691649981;0.41140100557140913
really one;well;0.01509820691649981;0.2779244027264591
well one;really;0.01509820691649981;0.3289330725771404
really well;good;0.020115150321288845;0.5481043620057072
really good;well;0.020115150321288845;0.23536448379990954
well good;really;0.020115150321288845;0.34334964886145986
